Date;Sleep start;Sleep end;Quality;Sleep Time;Quality
11.11.2017;21:22;05:25;32.71;08:03;32.71
10.11.2017;23:09;05:24;31.2;06:15;31.2
09.11.2017;23:22;05:23;21.05;06:01;21.05
08.11.2017;23:23;05:24;19.67;06:01;19.67
07.11.2017;22:52;05:15;26.63;06:23;26.63
06.11.2017;21:34;08:52;7.23;11:18;7.23
05.11.2017;22:28;05:53;20.0;07:25;20.0
04.11.2017;21:51;07:33;13.4;09:42;13.4
03.11.2017;22:54;08:12;27.06;09:18;27.06
02.11.2017;00:10;08:44;2.76;08:34;2.76
01.11.2017;23:02;06:45;19.65;07:43;19.65
31.10.2017;21:41;07:11;7.72;09:30;7.72
30.10.2017;21:36;06:47;10.47;10:11;10.47
29.10.2017;22:11;08:11;17.83;10:00;17.83
28.10.2017;23:18;05:24;34.97;06:06;34.97
27.10.2017;23:24;05:24;30.56;06:00;30.56
26.10.2017;22:55;05:15;25.79;06:20;25.79
25.10.2017;23:08;06:35;25.73;07:27;25.73
24.10.2017;23:27;05:16;24.93;05:49;24.93
23.10.2017;22:13;09:04;15.67;10:51;15.67
21.10.2017;23:06;05:19;33.51;06:13;33.51
20.10.2017;22:32;05:15;19.11;06:43;19.11
19.10.2017;22:20;05:15;23.61;06:55;23.61
18.10.2017;23:25;06:30;28.24;07:05;28.24
17.10.2017;22:43;05:15;14.03;06:32;14.03
16.10.2017;23:42;07:48;5.35;08:06;5.35
15.10.2017;23:44;09:10;22.97;09:26;22.97
14.10.2017;22:25;05:13;27.94;06:48;27.94
13.10.2017;22:55;05:20;17.4;06:25;17.4
12.10.2017;22:44;05:12;33.76;06:28;33.76
10.10.2017;22:03;05:15;20.14;07:12;20.14
09.10.2017;21:30;07:14;19.18;09:44;19.18
08.10.2017;22:13;08:16;33.17;10:03;33.17
07.10.2017;22:06;06:34;27.56;08:28;27.56
06.10.2017;22:36;05:19;20.1;06:43;20.1
05.10.2017;21:59;06:15;21.57;08:16;21.57
04.10.2017;23:22;06:35;12.7;07:13;12.7
03.10.2017;21:51;05:15;16.89;07:24;16.89
02.10.2017;23:10;08:12;26.75;09:02;26.75
01.10.2017;23:36;06:48;15.74;07:12;15.74
30.09.2017;22:28;06:34;28.6;08:06;28.6
29.09.2017;22:30;05:15;13.58;06:45;13.58
28.09.2017;23:32;05:13;14.96;05:41;14.96
27.09.2017;22:22;06:43;16.57;08:21;16.57
26.09.2017;22:29;05:15;25.12;06:46;25.12
25.09.2017;22:57;06:14;24.49;07:17;24.49
24.09.2017;22:57;06:42;22.37;07:45;22.37
23.09.2017;21:07;05:15;21.72;08:08;21.72
22.09.2017;22:44;05:15;30.18;06:31;30.18
21.09.2017;22:40;05:15;17.72;06:35;17.72
20.09.2017;22:31;06:30;32.57;07:59;32.57
19.09.2017;22:58;06:30;16.37;07:32;16.37
18.09.2017;22:46;07:56;22.55;09:10;22.55
17.09.2017;23:36;07:47;23.42;08:11;23.42
16.09.2017;21:30;05:15;24.73;07:45;24.73
15.09.2017;22:28;05:15;38.33;06:47;38.33
14.09.2017;23:04;05:15;16.17;06:11;16.17
13.09.2017;23:36;06:30;13.77;06:54;13.77
12.09.2017;21:38;05:06;27.46;07:28;27.46
11.09.2017;22:59;08:08;18.76;09:09;18.76
10.09.2017;19:58;07:12;20.33;11:14;20.33
09.09.2017;23:31;05:14;34.4;05:43;34.4
08.09.2017;22:35;05:17;16.92;06:42;16.92
07.09.2017;21:25;05:39;31.17;08:14;31.17
06.09.2017;22:22;06:39;27.57;08:17;27.57
05.09.2017;18:07;06:17;15.48;12:10;15.48
04.09.2017;23:02;06:08;17.37;07:06;17.37
03.09.2017;23:22;07:06;24.78;07:44;24.78
02.09.2017;01:20;07:32;1.77;06:12;1.77
01.09.2017;23:24;06:15;8.27;06:51;8.27
31.08.2017;22:32;07:37;19.82;09:05;19.82
30.08.2017;23:00;07:25;20.0;08:25;20.0
29.08.2017;23:16;08:09;27.95;08:53;27.95
28.08.2017;23:24;07:21;24.11;07:57;24.11
27.08.2017;22:55;07:43;25.95;08:48;25.95
26.08.2017;23:22;06:40;20.55;07:18;20.55
25.08.2017;23:48;07:31;12.53;07:43;12.53
24.08.2017;23:28;06:40;29.63;07:12;29.63
23.08.2017;23:49;06:56;31.38;07:07;31.38
22.08.2017;00:06;07:11;4.45;07:05;4.45
21.08.2017;22:44;09:19;9.45;10:35;9.45
20.08.2017;23:24;09:49;17.6;10:25;17.6
19.08.2017;22:51;08:01;19.45;09:10;19.45
