2017-12-16 23:32:00;2017-12-17 07:27:00;24.42;7:55
2017-12-14 22:58:00;2017-12-15 05:32:00;20.3;6:34
2017-12-13 22:58:00;2017-12-14 05:26:00;21.13;6:28
2017-12-12 23:07:00;2017-12-13 05:23:00;14.36;6:16
2017-12-11 22:13:00;2017-12-12 05:17:00;19.1;7:04
2017-12-10 23:06:00;2017-12-11 07:00:00;28.48;7:54
2017-12-09 00:38:00;2017-12-10 10:01:00;2.65;9:23
2017-12-08 23:22:00;2017-12-09 05:24:00;30.66;6:02
2017-12-07 22:43:00;2017-12-08 05:23:00;17.75;6:40
2017-12-06 23:17:00;2017-12-07 05:27:00;23.24;6:10
2017-12-05 22:52:00;2017-12-06 05:24:00;28.83;6:32
2017-12-04 23:06:00;2017-12-05 05:24:00;20.11;6:18
2017-12-03 22:31:00;2017-12-04 08:46:00;17.72;10:15
2017-12-02 23:20:00;2017-12-03 07:35:00;12.73;8:15
2017-12-01 22:51:00;2017-12-02 09:22:00;22.5;10:31
2017-11-30 23:18:00;2017-12-01 06:45:00;26.62;7:27
2017-11-29 23:04:00;2017-11-30 05:22:00;17.46;6:18
2017-11-28 22:49:00;2017-11-29 05:24:00;33.42;6:35
2017-11-27 22:33:00;2017-11-28 08:24:00;15.91;9:51
2017-11-26 23:43:00;2017-11-27 08:24:00;22.26;8:41
2017-11-25 22:58:00;2017-11-26 07:31:00;17.54;8:33
2017-11-24 22:57:00;2017-11-25 05:24:00;21.19;6:27
2017-11-23 23:38:00;2017-11-24 05:24:00;26.01;5:46
2017-11-22 21:32:00;2017-11-23 05:34:00;12.86;8:02
2017-11-21 23:42:00;2017-11-22 05:29:00;17.58;5:47
2017-11-20 22:03:00;2017-11-21 05:24:00;16.33;7:21
2017-11-19 23:02:00;2017-11-20 06:58:00;30.25;7:56
2017-11-18 23:02:00;2017-11-19 09:25:00;12.68;10:23
2017-11-17 22:53:00;2017-11-18 05:24:00;26.34;6:31
